측정일시,권역명,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20240101,동남권,강남구,0.0275,0.0143,0.65,0.003,24,20
20240101,동남권,강동구,0.0307,0.0122,0.92,0.002,21,16
20240101,동북권,강북구,0.0236,0.0167,0.7,0.0025,20,16
20240101,서남권,강서구,0.0346,0.0128,0.9,0.0034,29,20
20240101,서남권,관악구,0.0327,0.0122,0.86,0.0027,34,25
20240101,동북권,광진구,0.0322,0.0148,0.78,0.0026,20,13
20240101,서남권,구로구,0.0214,0.0107,0.68,0.0026,31,25
20240101,서남권,금천구,0.0356,0.0031,1.02,0.0026,31,22
20240101,동북권,노원구,0.0272,0.0143,0.74,0.003,25,20
20240101,동북권,도봉구,0.026,0.018,0.86,0.0029,19,16
20240101,동북권,동대문구,0.0295,0.0145,0.77,0.0031,24,18
20240101,서남권,동작구,0.0325,0.0129,0.7,0.0026,27,21
20240101,서북권,마포구,0.0344,0.0118,0.8,0.0029,24,23
20240101,서북권,서대문구,0.0268,0.0163,1.05,0.0038,23,19
20240101,동남권,서초구,0.0251,0.0127,0.67,0.0027,28,21
20240101,동북권,성동구,0.0279,0.0129,0.65,0.0022,25,18
20240101,동북권,성북구,0.0258,0.0143,0.85,0.0023,21,18
20240101,동남권,송파구,0.0307,0.0122,0.71,0.0027,22,18
20240101,서남권,양천구,0.0366,0.0123,0.87,0.0031,30,25
20240101,서남권,영등포구,0.0299,0.0158,0.78,0.0029,26,22
20240101,도심권,용산구,0.0293,0.0137,0.76,0.0026,23,16
20240101,서북권,은평구,0.0248,0.0136,1.13,0.0025,23,17
20240101,도심권,종로구,0.027,0.0159,0.76,0.0033,23,20
20240101,도심권,중구,0.0296,0.0124,0.71,0.0031,19,21
20240101,동북권,중랑구,0.0301,0.0134,0.66,0.0024,22,16
20240102,동남권,강남구,0.0241,0.0238,0.46,0.003,41,29
20240102,동남권,강동구,0.0309,0.0173,0.84,0.0021,38,30
20240102,동북권,강북구,0.0137,0.029,0.47,0.0024,34,25
20240102,서남권,강서구,0.0252,0.0221,0.51,0.003,43,26
20240102,서남권,관악구,0.0254,0.0206,0.54,0.0026,44,28
20240102,동북권,광진구,0.0297,0.0218,0.64,0.0026,37,26
20240102,서남권,구로구,0.0176,0.0169,0.47,0.0024,44,29
20240102,서남권,금천구,0.0323,0.0153,0.57,0.0028,45,34
20240102,동북권,노원구,0.0206,0.0233,0.49,0.0029,40,29
20240102,동북권,도봉구,0.0146,0.032,0.53,0.0027,31,25
20240102,동북권,동대문구,0.0193,0.026,0.51,0.0029,39,27
20240102,서남권,동작구,0.0318,0.0168,0.5,0.0024,44,32
20240102,서북권,마포구,0.0275,0.0195,0.52,0.0027,39,30
20240102,서북권,서대문구,0.0214,0.0221,0.92,0.0046,38,30
20240102,동남권,서초구,0.02,0.0208,0.43,0.0026,42,29
20240102,동북권,성동구,0.0223,0.0222,0.44,0.0022,38,26
20240102,동북권,성북구,0.0191,0.0228,0.58,0.0022,37,27
20240102,동남권,송파구,0.0281,0.0207,0.52,0.0026,41,29
20240102,서남권,양천구,0.0288,0.0195,0.56,0.0029,43,33
20240102,서남권,영등포구,0.0254,0.0228,0.51,0.0027,38,30
20240102,도심권,용산구,0.0221,0.0228,0.57,0.0024,40,26
20240102,서북권,은평구,0.0199,0.0187,0.98,0.0025,39,28
20240102,도심권,종로구,0.0192,0.026,0.54,0.0027,41,32
20240102,도심권,중구,0.021,0.024,0.49,0.0027,34,29
20240102,동북권,중랑구,0.0251,0.0207,0.49,0.0025,35,28
20240103,동남권,강남구,0.033,0.0149,0.54,0.003,44,31
20240103,동남권,강동구,0.0385,0.0102,0.9,0.0023,41,30
20240103,동북권,강북구,0.0181,0.0235,0.52,0.0024,36,25
20240103,서남권,강서구,0.0325,0.0167,0.53,0.0033,46,28
20240103,서남권,관악구,0.0291,0.0178,0.55,0.0027,49,30
20240103,동북권,광진구,0.0417,0.0113,0.74,0.0028,39,26
20240103,서남권,구로구,0.0218,0.0146,0.5,0.0024,49,33
20240103,서남권,금천구,0.0378,0.0117,0.65,0.0029,45,34
20240103,동북권,노원구,0.0282,0.0143,0.54,0.0029,44,29
20240103,동북권,도봉구,0.0239,0.0227,0.65,0.0028,36,28
20240103,동북권,동대문구,0.0284,0.0196,0.57,0.003,42,28
20240103,서남권,동작구,0.0296,0.0182,0.47,0.0025,45,32
20240103,서북권,마포구,0.0314,0.0166,0.52,0.0027,39,30
20240103,서북권,서대문구,0.0238,0.0209,0.89,0.0043,39,30
20240103,동남권,서초구,0.0241,0.018,0.44,0.0027,46,31
20240103,동북권,성동구,0.0307,0.0135,0.5,0.0024,41,27
20240103,동북권,성북구,0.0246,0.018,0.63,0.0022,39,28
