수송일자,총승하차인원,고유역수,행수
2024-01-01,3804860,239,544
2024-01-02,9029451,239,544
2024-01-03,9381398,239,544
2024-01-04,9561173,239,544
2024-01-05,9856618,239,544
2024-01-06,6861325,240,546
2024-01-07,4827869,239,544
2024-01-08,9093506,239,544
2024-01-09,9518962,239,544
2024-01-10,9675712,239,544
2024-01-11,9654674,239,544
2024-01-12,9972387,239,544
2024-01-13,7054497,239,544
2024-01-14,4671262,239,544
2024-01-15,9235625,239,544
2024-01-16,9501838,239,544
2024-01-17,9605031,239,544
2024-01-18,9686574,239,544
2024-01-19,10012845,239,544
2024-01-20,6989358,239,544
2024-01-21,4920181,239,544
2024-01-22,9004719,239,544
2024-01-23,8808525,239,544
2024-01-24,9149969,239,544
2024-01-25,9463135,239,544
2024-01-26,9875274,239,544
2024-01-27,6975656,239,544
2024-01-28,4978014,239,544
2024-01-29,9300686,239,544
2024-01-30,9556582,239,544
2024-01-31,9613350,239,544
2024-02-01,9652971,239,544
2024-02-02,9969582,239,544
2024-02-03,6783999,239,544
2024-02-04,5077227,239,544
2024-02-05,9341895,239,544
2024-02-06,9662048,239,544
2024-02-07,9646157,239,544
2024-02-08,9184563,239,544
2024-02-09,3788505,239,544
2024-02-10,3037719,239,544
2024-02-11,4174390,239,544
2024-02-12,4519634,239,544
2024-02-13,9059708,240,546
2024-02-14,9841746,239,544
2024-02-15,9606660,239,544
2024-02-16,10310339,239,544
2024-02-17,7538616,239,544
2024-02-18,5221991,239,544
2024-02-19,9281567,239,544
2024-02-20,9810249,239,544
2024-02-21,9621595,239,544
2024-02-22,10006835,239,544
2024-02-23,10326857,239,544
2024-02-24,7548201,239,544
2024-02-25,5405485,239,544
2024-02-26,9661991,239,544
2024-02-27,9877629,239,544
2024-02-28,9996757,239,544
2024-02-29,10143130,239,544
2024-03-01,6265253,239,544
2024-03-02,6391455,239,544
2024-03-03,5038316,239,544
2024-03-04,9655815,239,544
2024-03-05,9919204,240,546
2024-03-06,10119929,239,544
2024-03-07,10213833,240,546
2024-03-08,10518703,239,544
2024-03-09,7500162,239,544
2024-03-10,5504291,239,544
2024-03-11,9840241,239,544
2024-03-12,10005245,239,544
2024-03-13,10281347,239,544
2024-03-14,10380868,239,544
2024-03-15,10594174,239,544
2024-03-16,7874372,239,544
2024-03-17,5694502,239,544
2024-03-18,9956702,239,544
2024-03-19,10109097,239,544
2024-03-20,10223501,239,544
2024-03-21,10467140,239,544
2024-03-22,10480342,239,544
2024-03-23,7774304,239,544
2024-03-24,5745666,239,544
2024-03-25,9859228,239,544
2024-03-26,10162321,239,544
2024-03-27,10478633,239,544
2024-03-28,11087557,239,544
2024-03-29,10556576,239,544
2024-03-30,7791856,239,544
2024-03-31,5781149,239,544
2024-04-01,14271445,239,544
2024-04-02,14722784,239,544
2024-04-03,14497566,239,544
2024-04-04,14897751,239,544
2024-04-05,15011442,239,544
2024-04-06,10840254,239,544
2024-04-07,7931347,239,544
2024-04-08,14208633,239,544
2024-04-09,15000547,239,544
2024-04-10,8166889,239,544
2024-04-11,14313611,239,544
2024-04-12,14707615,239,544
2024-04-13,10274871,239,544
2024-04-14,7324169,239,544
2024-04-15,13585722,239,544
2024-04-16,14433569,239,544
2024-04-17,14558091,239,544
2024-04-18,14564595,239,544
2024-04-19,14705501,239,544
2024-04-20,9439095,239,544
2024-04-21,7030491,239,544
2024-04-22,13980170,239,544
2024-04-23,14372047,239,544
2024-04-24,14177563,239,544
2024-04-25,14651828,239,544
2024-04-26,14953914,239,544
2024-04-27,10804927,240,546
2024-04-28,7895523,239,544
2024-04-29,14404179,239,544
2024-04-30,15006860,239,544
2024-05-01,7455173,239,544
2024-05-02,10526867,239,544
2024-05-03,10891940,239,544
2024-05-04,7788168,239,544
2024-05-05,4804202,239,544
2024-05-06,5001283,239,544
2024-05-07,9986926,239,544
2024-05-08,10297207,239,544
2024-05-09,10482351,239,544
2024-05-10,10916391,239,544
2024-05-11,7397192,239,544
2024-05-12,5915865,239,544
2024-05-13,10099650,239,544
2024-05-14,10794390,239,544
2024-05-15,5750923,239,544
2024-05-16,10417375,239,544
2024-05-17,10734919,239,544
2024-05-18,8044667,239,544
2024-05-19,5877937,239,544
2024-05-20,9909431,239,544
2024-05-21,10325408,239,544
2024-05-22,10389882,239,544
2024-05-23,10445546,239,544
2024-05-24,10702971,239,544
2024-05-25,8215990,239,544
2024-05-26,5436936,239,544
2024-05-27,9992658,239,544
2024-05-28,10256481,239,544
2024-05-29,10349594,239,544
2024-05-30,10292415,239,544
2024-05-31,10584340,239,544
2024-06-01,7835852,239,544
2024-06-02,5495487,239,544
2024-06-03,9872731,239,544
2024-06-04,10192316,239,544
2024-06-05,10527642,239,544
2024-06-06,6110574,239,544
2024-06-07,9643358,239,544
2024-06-08,6619472,239,544
2024-06-09,5310211,239,544
2024-06-10,9767862,239,544
2024-06-11,10141960,239,544
2024-06-12,10148790,239,544
2024-06-13,10267298,239,544
2024-06-14,10461840,239,544
2024-06-15,7280273,239,544
2024-06-16,5382948,239,544
2024-06-17,9755187,239,544
2024-06-18,9996149,239,544
2024-06-19,10051851,239,544
2024-06-20,10136105,239,544
2024-06-21,10374123,239,544
2024-06-22,6995855,239,544
2024-06-23,5309170,239,544
2024-06-24,9661453,239,544
2024-06-25,10046512,239,544
2024-06-26,10151459,239,544
2024-06-27,10125156,239,544
2024-06-28,10442860,239,544
2024-06-29,7183670,239,544
2024-06-30,4745884,239,544
2024-07-01,9595514,239,544
2024-07-02,9151046,239,544
2024-07-03,9930493,239,544
2024-07-04,10009301,239,544
2024-07-05,10250187,239,544
2024-07-06,6825609,239,544
2024-07-07,5191531,239,544
2024-07-08,9176357,240,546
2024-07-09,9725775,239,544
2024-07-10,9944844,239,544
2024-07-11,10001974,239,544
2024-07-12,10286122,239,544
2024-07-13,7374385,239,544
2024-07-14,5364400,239,544
2024-07-15,9590586,239,544
2024-07-16,9680796,239,544
2024-07-17,9356764,239,544
2024-07-18,9168689,239,544
2024-07-19,10296400,239,544
2024-07-20,6772045,239,544
2024-07-21,5032917,239,544
2024-07-22,9210401,239,544
2024-07-23,9507419,239,544
2024-07-24,9779384,239,544
2024-07-25,9857892,239,544
2024-07-26,9803268,239,544
2024-07-27,6512216,239,544
2024-07-28,4988329,239,544
2024-07-29,9037317,239,544
2024-07-30,9427607,239,544
2024-07-31,9541072,240,546
2024-08-01,9210724,240,546
2024-08-02,9209879,240,546
2024-08-03,6315892,240,546
2024-08-04,4628136,239,544
2024-08-05,8703949,240,546
2024-08-06,9049250,240,546
2024-08-07,9164432,240,546
2024-08-08,9285306,240,546
2024-08-09,9488841,240,546
2024-08-10,6563633,240,546
2024-08-11,4846056,240,546
2024-08-12,9146272,240,546
2024-08-13,9414981,240,546
2024-08-14,9645728,240,546
2024-08-15,5402792,240,546
2024-08-16,8740041,240,546
2024-08-17,6222650,240,546
2024-08-18,4738523,240,546
2024-08-19,9061182,240,546
2024-08-20,9342485,240,546
2024-08-21,9133356,240,546
2024-08-22,9419435,240,546
2024-08-23,9945252,240,546
2024-08-24,6960308,240,546
2024-08-25,5086236,240,546
2024-08-26,9313686,240,546
2024-08-27,9618731,240,546
2024-08-28,9773601,240,546
2024-08-29,9765048,240,546
2024-08-30,10052527,240,546
2024-08-31,7104716,240,546
2024-09-01,5202838,240,546
2024-09-02,9641192,240,546
2024-09-03,9999953,240,546
2024-09-04,10133942,240,546
2024-09-05,10129075,240,546
2024-09-06,10371965,240,546
2024-09-07,7617671,240,546
2024-09-08,5395740,240,546
2024-09-09,9838891,240,546
2024-09-10,10136125,240,546
2024-09-11,10055744,240,546
2024-09-12,9882539,240,546
2024-09-13,10018803,240,546
2024-09-14,6066884,240,546
2024-09-15,4629976,240,546
2024-09-16,3728528,240,546
2024-09-17,3308711,240,546
2024-09-18,4175335,240,546
2024-09-19,9106473,240,546
2024-09-20,9503664,240,546
2024-09-21,6941666,240,546
2024-09-22,5560993,240,546
2024-09-23,10007227,240,546
2024-09-24,10258655,240,546
2024-09-25,10310034,240,546
2024-09-26,10298659,240,546
2024-09-27,10713136,240,546
2024-09-28,7953997,240,546
2024-09-29,5658357,240,546
2024-09-30,10073937,240,546
2024-10-01,6357273,240,546
2024-10-02,10311762,240,546
2024-10-03,6368986,240,546
2024-10-04,9972471,240,546
2024-10-05,8011362,240,546
2024-10-06,5342657,240,546
2024-10-07,9871681,240,546
2024-10-08,10426148,240,546
2024-10-09,6211376,240,546
2024-10-10,10176048,240,546
2024-10-11,10649371,240,546
2024-10-12,7793625,240,546
2024-10-13,5709103,240,546
2024-10-14,9858135,240,546
2024-10-15,10039791,240,546
2024-10-16,10193454,240,546
2024-10-17,10259527,240,546
2024-10-18,10040047,240,546
2024-10-19,7709324,240,546
2024-10-20,5864986,240,546
2024-10-21,9828574,240,546
2024-10-22,9773094,240,546
2024-10-23,10192248,240,546
2024-10-24,10284106,240,546
2024-10-25,10663325,240,546
2024-10-26,8026381,240,546
2024-10-27,6112271,240,546
2024-10-28,9900379,240,546
2024-10-29,10169179,240,546
2024-10-30,10311989,240,546
2024-10-31,10365303,240,546
2024-11-01,10516607,240,546
2024-11-02,8128811,240,546
2024-11-03,6044905,240,546
2024-11-04,9916564,240,546
2024-11-05,10177889,240,546
2024-11-06,10220029,240,546
2024-11-07,10196471,240,546
2024-11-08,10529122,240,546
2024-11-09,8128628,240,546
2024-11-10,5764772,240,546
2024-11-11,9868986,240,546
2024-11-12,10124467,240,546
2024-11-13,10250292,240,546
2024-11-14,10032209,240,546
2024-11-15,10447760,240,546
2024-11-16,7869858,240,546
2024-11-17,5766098,240,546
2024-11-18,9723076,240,546
2024-11-19,10023063,240,546
2024-11-20,10176785,240,546
2024-11-21,10176428,240,546
2024-11-22,10505324,240,546
2024-11-23,7853127,240,546
2024-11-24,5735967,240,546
2024-11-25,9914142,240,546
2024-11-26,10012662,240,546
2024-11-27,10565731,240,546
2024-11-28,10281496,240,546
2024-11-29,10588660,240,546
2024-11-30,7680597,240,546
2024-12-01,5567204,240,546
